Census Tract,Total Population,California County,ZIP,Approximate Location,CES 4.0 Score,Pollution Burden Score,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Unemployment,Housing Burden,Pop. Char. Score,PovertyRate,lapophalfshare,lalowihalfshare,lapop1share,lalowi1share,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%),Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,LATractsVehicle_20,CVD Risk Level
6111007609,2530,Ventura ,93021,Moorpark,9.74,4.23,30.68,2.88,14.2,5.2,4.3,4.1,2.3,3.3,53.7,3.57,,,12.5,72.61,14.8,16.3,71.9,2.33,1.19,6.33,1.9,1,0,0,0,0,0,0,0,High
6097153903,3876,Sonoma ,95448,Healdsburg,8.69,3.77,36.23,4.27,9.36,3.7,2.6,10,2.31,2.1,65.3,10.3,8.72,0.97,5.42,69.81,24.7,25.7,71,0,0.77,0.72,1.73,1,0,0,0,0,0,0,0,Mild
6111007506,7186,Ventura ,93065,Simi Valley,8.19,3.55,32.32,4.2,10.3,3.1,2.9,10,2.31,4.1,100,13.6,82.53,9.63,7.95,77.09,14.9,18.3,72.1,0.26,0,7.77,1.54,1,0,0,0,0,0,0,0,Moderate
6085502907,3936,Santa Clara,95118,San Jose,5.23,2.26,36.44,2.84,10.4,3.5,3,8.4,2.31,4.2,39.4,4.32,,,11,70.91,18,12.7,61,0.36,0.15,19.3,6.35,1,0,0,0,0,0,0,0,Moderate
6085509108,4428,Santa Clara,94043,Mountain View,13.6,5.91,19.77,4.86,8.77,4.7,3.2,10,2.31,4.5,100,16.4,34.28,6.56,14.4,75.54,10,16.5,41.3,1.42,0.2,35.7,4.79,1,0,0,0,0,0,0,0,Mild
6059075814,2915,Orange ,92867,Orange,9.49,4.11,22.28,3.21,8.13,7.3,6.9,8,2.31,6.2,100,16.5,95.43,16.31,10,73.1,16.8,15.7,47,1.72,0,30.7,4.73,1,0,0,0,0,0,0,0,Mild
6111006700,3431,Ventura ,91360,Thousand Oaks,9.9,4.28,25.61,2.48,13.1,NA,3.1,11,2.31,6.3,72,6.45,3.05,0.24,8.98,67.91,23.1,16.8,71.5,0.85,0.35,8.02,2.42,1,0,0,0,0,0,0,0,High
6001451300,6903,Alameda ,94551,Livermore,13.2,5.73,29.66,4.23,10.6,6.6,NA,8.3,2.31,7.1,91.4,15.3,20.94,3.03,12.8,75.47,11.6,19.6,63.4,1.38,0,9.01,6.58,1,0,0,0,0,0,0,0,Moderate
6075017102,4095,San Francisco,94117,San Francisco,6.39,2.76,46.92,2.83,8.78,1.7,3.6,12,2.31,6.4,3.62,0.63,,,12.4,77.14,10.4,12,69.3,1.98,0.02,10.1,6.5,1,0,0,0,0,0,0,0,Mild
6019005517,7978,Fresno ,93730,Fresno,10.3,4.47,30.7,5.68,7.27,1.8,1.9,5.5,2.31,3.8,80.7,4.5,46.21,2.07,18.2,67.92,13.8,14.5,60.2,0,0,17.5,7.75,1,0,0,0,0,0,0,0,Mild
6037621004,4086,Los Angeles,90254,Hermosa Beach,10.7,4.62,15.75,4.82,8.04,4.1,5.2,11,2.32,5.7,48.8,4.84,,,6.98,77.85,15.1,9.47,81.6,0.07,0,4.8,3.99,1,0,0,0,0,0,0,0,Mild
6061021044,5954,Placer ,95747,Roseville,5.63,2.43,33.77,2.93,16.6,2.3,2.9,6.4,2.32,2.9,44,2.97,,,11.3,77.76,10.8,10.4,72.7,1.61,0.57,8.83,5.79,1,0,0,0,0,0,0,0,High
